SampleSize,LossFunction,Accuracy
57,0.1523113250732422,0.9649122953414917
148,0.40181633830070496,0.9256756901741028
141,0.13839071989059448,0.9716312289237976
115,0.35256895422935486,0.947826087474823
45,0.1505783647298813,0.9555555582046509
65,0.29324573278427124,0.9538461565971375
71,0.4549800753593445,0.9436619877815247
51,0.21313323080539703,0.9607843160629272
67,0.1650903970003128,0.9701492786407471
154,0.45365238189697266,0.9415584206581116
71,0.2397730052471161,0.9436619877815247
127,0.31550177931785583,0.9448819160461426
165,0.25199005007743835,0.9575757384300232
134,0.41131430864334106,0.9552238583564758
159,0.570752739906311,0.9308176040649414
64,0.2262008786201477,0.9375
41,0.592494010925293,0.8780487775802612
128,0.6819084882736206,0.90625
41,0.06411881744861603,0.9756097793579102
76,0.0681334063410759,0.9868420958518982
71,0.8435900807380676,0.9154929518699646
80,0.7053459286689758,0.9375
30,0.6258848309516907,0.9666666388511658
173,0.365768700838089,0.9421965479850769
35,0.017618445679545403,1.0
90,0.07712524384260178,0.9888888597488403
157,0.24816104769706726,0.9554139971733093
117,0.33846908807754517,0.9316239356994629
39,0.9895785450935364,0.8974359035491943
112,0.3395436108112335,0.9285714030265808
125,0.3885938227176666,0.9520000219345093
112,0.2880589962005615,0.9464285969734192
59,0.37048104405403137,0.9491525292396545
38,0.8482092618942261,0.9473684430122375
177,0.3454667329788208,0.9548022747039795
140,0.2376735657453537,0.9714285731315613
69,0.4039263427257538,0.9420289993286133
163,0.5328693389892578,0.9509202241897583
137,0.3563155233860016,0.9343065619468689
73,0.15596982836723328,0.9589040875434875
115,0.9730424284934998,0.9130434989929199
171,0.5288711190223694,0.9122806787490845
145,0.421647310256958,0.9241379499435425
58,0.7701723575592041,0.8793103694915771
60,0.3398127853870392,0.9333333373069763
30,0.018649334087967873,1.0
51,0.2166205644607544,0.9411764740943909
170,0.3354266583919525,0.9529411792755127
132,0.27927395701408386,0.9621211886405945
46,0.31672754883766174,0.9130434989929199
100,0.3348543047904968,0.9300000071525574
38,0.37815263867378235,0.9210526347160339
53,0.07480086386203766,0.9811320900917053
162,0.5708596110343933,0.9135802388191223
36,0.4095413088798523,0.9166666865348816
135,0.34051287174224854,0.9333333373069763
134,0.45103079080581665,0.9402984976768494
82,0.6305848956108093,0.9268292784690857
76,0.34912121295928955,0.9342105388641357
53,0.15238109230995178,0.9622641801834106
39,0.6671372056007385,0.9230769276618958
40,0.4696268141269684,0.949999988079071
163,0.6280778050422668,0.9263803958892822
138,0.4260472357273102,0.9420289993286133
94,0.5035834908485413,0.9255319237709045
133,0.4897194802761078,0.932330846786499
168,0.6079041361808777,0.8928571343421936
74,0.19545407593250275,0.9324324131011963
104,0.6658593416213989,0.9038461446762085
62,0.33850497007369995,0.9354838728904724
88,0.46803781390190125,0.9090909361839294
60,0.38057902455329895,0.9666666388511658
169,0.28499463200569153,0.9526627063751221
89,1.0349335670471191,0.9101123809814453
49,0.7104029059410095,0.918367326259613
63,0.2959272265434265,0.9682539701461792
169,0.3809606730937958,0.9289940595626831
53,0.6892051100730896,0.9245283007621765
79,0.280744731426239,0.9620253443717957
108,0.28131404519081116,0.9537037014961243
123,0.5072092413902283,0.9186992049217224
167,0.35134798288345337,0.940119743347168
114,0.32013723254203796,0.9473684430122375
72,0.5932714939117432,0.9166666865348816
152,0.5799483060836792,0.9210526347160339
93,0.4288026690483093,0.9354838728904724
101,0.35103079676628113,0.9405940771102905
87,0.2550451457500458,0.9425287246704102
125,0.22768457233905792,0.9520000219345093
131,0.4314314126968384,0.9389312863349915
108,0.4225451648235321,0.9537037014961243
39,0.42942702770233154,0.9487179517745972
81,0.3796553909778595,0.9506173133850098
51,0.24676978588104248,0.9803921580314636
80,0.39256227016448975,0.9375
